country,from,to,city
dk,5290,,Marslev
dk,5300,,Kerteminde
dk,5320,,Agedrup
dk,5330,,Munkebo
dk,5350,,Rynkeby
dk,5370,,Mesinge
dk,5380,,Dalby
dk,5390,,Martofte
dk,5400,,Bogense
dk,5450,,Otterup
dk,5462,,Morud
dk,5463,,Harndrup
dk,5464,,"Brenderup Fyn"
dk,5466,,Asperup
dk,5471,,Søndersø
dk,5474,,Veflinge
dk,5485,,Skamby
dk,5491,,Blommenslyst
dk,5492,,Vissenbjerg
dk,5500,,Middelfart
dk,5540,,Ullerslev
dk,5550,,Langeskov
dk,5560,,Aarup
dk,5580,,"Nørre Aaby"
dk,5591,,Gelsted
dk,5592,,Ejby
dk,5600,,Faaborg
dk,5610,,Assens
dk,5620,,Glamsbjerg
dk,5631,,Ebberup
dk,5642,,Millinge
dk,5672,,Broby
dk,5683,,Haarby
dk,5690,,Tommerup
dk,5700,,Svendborg
dk,5750,,Ringe
dk,5762,,"Vester Skerninge"
dk,5771,,Stenstrup
dk,5772,,Kværndrup
dk,5792,,Årslev
dk,5800,,Nyborg
dk,5853,,Ørbæk
dk,5854,,Gislev
dk,5856,,Ryslinge
dk,5863,,"Ferritslev Fyn"
dk,5871,,Frørup
dk,5874,,Hesselager
dk,5881,,"Skårup Fyn"
dk,5882,,Vejstrup
dk,5883,,Oure
dk,5884,,Gudme
dk,5892,,"Gudbjerg Sydfyn"
dk,5900,,Rudkøbing
dk,5932,,Humble
dk,5935,,Bagenkop
dk,5953,,Tranekær
dk,5960,,Marstal
dk,5970,,Ærøskøbing
dk,5985,,"Søby Ærø"
dk,6000,,Kolding
dk,6040,,Egtved
dk,6051,,Almind
dk,6052,,Viuf
dk,6064,,Jordrup
dk,6070,,Christiansfeld
dk,6091,,Bjert
dk,6092,,"Sønder Stenderup"
dk,6093,,Sjølund
dk,6094,,Hejls
dk,6100,,Haderslev
dk,6200,,Aabenraa
dk,6230,,Rødekro
dk,6240,,Løgumkloster
dk,6261,,Bredebro
dk,6270,,Tønder
dk,6280,,Højer
dk,6300,,Gråsten
dk,6310,,Broager
dk,6320,,Egernsund
dk,6330,,Padborg
dk,6340,,Kruså
dk,6360,,Tinglev
dk,6372,,Bylderup-Bov
dk,6392,,Bolderslev
dk,6400,,Sønderborg
dk,6430,,Nordborg
dk,6440,,Augustenborg
dk,6470,,Sydals
dk,6500,,Vojens
dk,6510,,Gram
dk,6520,,Toftlund
dk,6534,,Agerskov
dk,6535,,"Branderup Jylland"
dk,6541,,Bevtoft
dk,6560,,Sommersted
dk,6580,,Vamdrup
dk,6600,,Vejen
dk,6621,,Gesten
dk,6622,,Bække
dk,6623,,Vorbasse
dk,6630,,Rødding
dk,6640,,Lunderskov
dk,6650,,Brørup
dk,6660,,Lintrup
dk,6670,,Holsted
dk,6682,,Hovborg
dk,6683,,Føvling
dk,6690,,Gørding
dk,6700,,Esbjerg
dk,6705,,"Esbjerg Ø"
dk,6710,,"Esbjerg V"
dk,6715,,"Esbjerg N"
dk,6720,,Fanø
dk,6731,,Tjæreborg
dk,6740,,Bramming
dk,6752,,Glejbjerg
dk,6753,,Agerbæk
dk,6760,,Ribe
dk,6771,,Gredstedbro
dk,6780,,Skærbæk
dk,6792,,Rømø
dk,6800,,Varde
dk,6818,,Årre
dk,6823,,Ansager
dk,6830,,"Nørre Nebel"
dk,6840,,Oksbøl
dk,6851,,"Janderup Vestjylland"
dk,6852,,Billum
dk,6853,,"Vejers Strand"
dk,6854,,Henne
dk,6855,,Outrup
dk,6857,,Blåvand
dk,6862,,Tistrup
dk,6870,,Ølgod
dk,6880,,Tarm
dk,6893,,Hemmet
dk,6900,,Skjern
dk,6920,,Videbæk
dk,6933,,Kibæk
dk,6940,,"Lem St."
dk,6950,,Ringkøbing
dk,6960,,"Hvide Sande"
dk,6971,,Spjald
dk,6973,,Ørnhøj
dk,6980,,Tim
dk,6990,,Ulfborg
dk,7000,,Fredericia
dk,7007,,"Fredericia Sydjyllands Postcenter"
dk,7080,,Børkop
dk,7100,,Vejle
dk,7120,,"Vejle Øst"
dk,7130,,Juelsminde
dk,7140,,Stouby
dk,7150,,Barrit
dk,7160,,Tørring
dk,7171,,Uldum
dk,7173,,Vonge
dk,7182,,Bredsten
dk,7183,,Randbøl
dk,7184,,Vandel
dk,7190,,Billund
dk,7200,,Grindsted
dk,7250,,Hejnsvig
dk,7260,,"Sønder Omme"
dk,7270,,Stakroge
dk,7280,,"Sønder Felding"
dk,7300,,Jelling
dk,7321,,Gadbjerg
dk,7323,,Give
dk,7330,,Brande
dk,7361,,Ejstrupholm
dk,7362,,Hampen
dk,7400,,Herning
dk,7401,,"Herning Vestjyllands Postcenter"
dk,7430,,Ikast
dk,7441,,Bording
dk,7442,,Engesvang
dk,7451,,Sunds
dk,7470,,"Karup Jylland"
dk,7480,,Vildbjerg
dk,7490,,Aulum
dk,7500,,Holstebro
dk,7540,,Haderup
dk,7550,,Sørvad
dk,7560,,Hjerm
dk,7570,,Vemb
dk,7600,,Struer
dk,7620,,Lemvig
dk,7650,,Bøvlingbjerg
dk,7660,,Bækmarksbro
dk,7673,,Harboøre
dk,7680,,Thyborøn
dk,7700,,Thisted
dk,7730,,Hanstholm
dk,7741,,Frøstrup
dk,7742,,Vesløs
dk,7752,,Snedsted
dk,7755,,"Bedsted Thy"
dk,7760,,"Hurup Thy"
dk,7770,,Vestervig
dk,7790,,Thyholm
dk,7800,,Skive
dk,7830,,Vinderup
dk,7840,,Højslev
dk,7850,,"Stoholm Jylland"
dk,7860,,Spøttrup
dk,7870,,Roslev
dk,7884,,Fur
dk,7900,,"Nykøbing Mors"
dk,7950,,Erslev
dk,7960,,Karby
dk,7970,,"Redsted Mors"
dk,7980,,Vils
dk,7990,,"Øster Assels"
dk,8000,,"Århus C"
dk,8011,,"Århus C Østjyllands Postcenter"
dk,8200,,"Århus N"
dk,8210,,"Århus V"
dk,8220,,Brabrand
dk,8230,,Åbyhøj
dk,8240,,Risskov
dk,8245,,"Risskov Ø Østjyllands Postcenter"
dk,8250,,Egå
dk,8260,,"Viby Jylland"
dk,8270,,Højbjerg
dk,8300,,Odder
dk,8305,,Samsø
dk,8310,,"Tranbjerg Jylland"
dk,8320,,Mårslet
dk,8330,,Beder
dk,8340,,Malling
dk,8350,,Hundslund
dk,8355,,Solbjerg
dk,8361,,Hasselager
dk,8362,,Hørning
dk,8370,,Hadsten
dk,8380,,Trige
dk,8381,,Tilst
dk,8382,,Hinnerup
dk,8400,,Ebeltoft
dk,8410,,Rønde
dk,8420,,Knebel
dk,8444,,Balle
dk,8450,,Hammel
dk,8462,,"Harlev Jylland"
dk,8464,,Galten
dk,8471,,Sabro
dk,8472,,Sporup
dk,8500,,Grenaa
dk,8520,,Lystrup
dk,8530,,Hjortshøj
dk,8541,,Skødstrup
dk,8543,,Hornslet
dk,8544,,Mørke
dk,8550,,Ryomgård
dk,8560,,Kolind
dk,8570,,Trustrup
dk,8581,,Nimtofte
dk,8585,,Glesborg
dk,8586,,"Ørum Djurs"
dk,8592,,Anholt
dk,8600,,Silkeborg
dk,8620,,Kjellerup
dk,8632,,Lemming
dk,8641,,Sorring
dk,8643,,"Ans By"
dk,8653,,Them
dk,8654,,Bryrup
dk,8660,,Skanderborg
dk,8670,,Låsby
dk,8680,,Ry
